Plan,Plan_Type,Company_Coverage,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
300041MEDCORE1,1,EE,26,26,25,21,22,18,17,17,15,16,16,16
300041MEDCORE1,1,ES,1,1,3,2,2,2,2,2,1,1,1,1
300041MEDCORE1,1,EF,5,5,5,5,5,4,4,4,2,2,2,2
300041MEDCORE1,1,ED,2,2,2,5,4,4,4,4,4,4,4,4
300041MEDCORE2,1,EE,30,28,28,27,28,30,26,26,25,24,23,25
300041MEDCORE2,1,ES,1,1,1,1,1,1,2,2,2,2,2,1
300041MEDCORE2,1,EF,,,,,,,,,1,1,1,1
300041MEDCORE2,1,ED,9,9,9,10,10,9,9,9,7,7,7,7
300041MEDPREM1,1,EE,15,15,12,11,11,9,8,9,12,12,11,11
300041MEDPREM1,1,ES,7,7,7,7,7,9,9,9,8,7,7,7
300041MEDPREM1,1,EF,,,,,,,,1,1,,1,0
300041MEDPREM1,1,ED,,,,,,,,,1,1,1,1
300041MEDPREM2,1,EE,14,13,13,13,12,12,11,11,12,10,10,10
300041MEDPREM2,1,ES,2,2,2,1,1,1,1,1,1,1,1,1
300041MEDPREM2,1,EF,1,,,,,,,,1,1,1,1
300041MEDSTNRD1,1,EE,31,31,33,33,33,30,31,32,34,29,28,31
300041MEDSTNRD1,1,ES,5,5,5,5,5,6,6,6,5,5,5,5
300041MEDSTNRD1,1,EF,2,2,2,2,2,2,2,2,3,3,3,3
300041MEDSTNRD1,1,ED,6,6,6,6,6,5,5,4,5,5,4,4
300041MEDSTNRD2,1,EE,28,27,26,24,23,23,22,21,29,28,26,25
300041MEDSTNRD2,1,ES,4,4,4,4,4,4,4,4,4,4,5,5
300041MEDSTNRD2,1,EF,1,1,1,2,2,2,2,1,,,,
300041MEDSTNRD2,1,ED,3,4,2,2,2,2,2,2,2,2,2,2
