Plan,Plan_Type,Company_Coverage,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
300041MEDCORE1,1,EE,21,17,19,16,14,13,12,14
300041MEDCORE1,1,ES,1,1,1,1,1,1,1,1
300041MEDCORE1,1,EF,2,2,2,2,1,1,1,1
300041MEDCORE1,1,ED,3,3,2,2,2,2,2,2
300041MEDCORE2,1,EE,26,26,24,22,20,19,18,19
300041MEDCORE2,1,ES,,1,1,1,,,,
300041MEDCORE2,1,EF,1,1,1,,,,,
300041MEDCORE2,1,ED,7,7,7,6,5,5,5,5
300041MEDPREM1,1,EE,13,14,12,12,11,8,7,8
300041MEDPREM1,1,ES,7,6,6,5,5,5,5,5
300041MEDPREM1,1,ED,0,,1,0,,,,
300041MEDPREM2,1,EE,10,10,10,10,6,6,6,6
300041MEDPREM2,1,ES,1,2,2,2,1,1,1,1
300041MEDPREM2,1,EF,1,1,1,,,,,
300041MEDSTNRD1,1,EE,31,32,31,34,28,28,26,26
300041MEDSTNRD1,1,ES,4,3,3,3,4,4,4,4
300041MEDSTNRD1,1,EF,3,3,3,3,2,2,2,2
300041MEDSTNRD1,1,ED,3,3,4,3,2,1,1,1
300041MEDSTNRD2,1,EE,26,25,24,20,21,22,21,21
300041MEDSTNRD2,1,ES,4,3,2,2,2,2,2,2
300041MEDSTNRD2,1,EF,,,1,1,1,1,1,1
300041MEDSTNRD2,1,ED,2,2,3,3,2,2,2,2
