Plan,Plan_Type,Company_Coverage,2024-01,2024-02
DSG BRONZE HDHP EPO PLAN,3,EE,66,67
DSG BRONZE HDHP EPO PLAN,3,ES,,1
DSG BRONZE HDHP EPO PLAN,3,EF,3,3
DSG BRONZE HDHP EPO PLAN,3,ED,15,15
DSG BRONZE HDHP PLAN,3,EE,372,370
DSG BRONZE HDHP PLAN,3,ES,21,19
DSG BRONZE HDHP PLAN,3,EF,32,32
DSG BRONZE HDHP PLAN,3,ED,75,74
DSG GOLD EPO PLAN,1,EE,17,15
DSG GOLD EPO PLAN,1,ES,2,2
DSG GOLD EPO PLAN,1,EF,4,4
DSG GOLD EPO PLAN,1,ED,4,4
DSG GOLD PLAN,1,EE,155,152
DSG GOLD PLAN,1,ES,12,13
DSG GOLD PLAN,1,EF,8,9
DSG GOLD PLAN,1,ED,17,18
DSG SILVER EPO PLAN,3,EE,45,48
DSG SILVER EPO PLAN,3,ES,2,2
DSG SILVER EPO PLAN,3,EF,5,5
DSG SILVER EPO PLAN,3,ED,5,5
DSG SILVER PLAN,3,EE,478,468
DSG SILVER PLAN,3,ES,23,22
DSG SILVER PLAN,3,EF,28,27
DSG SILVER PLAN,3,ED,58,58
