Plan,Plan_Type,Company_Coverage,2023-12,2024-01,2024-02
100579MECPLUS,1,EE,97,98,95
100579MECPLUS,1,ES,6,7,8
100579MECPLUS,1,EF,4,3,4
100579MECPLUS,1,ED,18,16,17
100579MEDANG1,1,EE,66,68,67
100579MEDANG1,1,ES,3,3,3
100579MEDANG1,1,EF,6,6,6
100579MEDANG1,1,ED,8,7,7
100579MEDANG2,1,EE,88,87,87
100579MEDANG2,1,ES,7,7,7
100579MEDANG2,1,EF,7,7,7
100579MEDANG2,1,ED,11,11,10
100579MEDHDP3,3,EE,39,38,38
100579MEDHDP3,3,ES,,,
100579MEDHDP3,3,EF,5,5,5
100579MEDHDP3,3,ED,5,4,4
100579VBPHDPHLTSMT,3,EE,68,64,63
100579VBPHDPHLTSMT,3,EF,5,5,5
100579VBPHDPHLTSMT,3,ED,4,4,4
100579VBPHDPPHCS,3,EE,110,105,99
100579VBPHDPPHCS,3,ES,2,2,2
100579VBPHDPPHCS,3,EF,6,5,5
100579VBPHDPPHCS,3,ED,11,11,11
100579VBPHLTSMT1,1,EE,37,36,36
100579VBPHLTSMT1,1,ES,,,
100579VBPHLTSMT1,1,ED,2,2,2
100579VBPHLTSMT2,1,EE,32,33,34
100579VBPHLTSMT2,1,ES,7,8,7
100579VBPHLTSMT2,1,EF,1,1,1
100579VBPHLTSMT2,1,ED,7,7,8
100579VBPPHCS1,1,EE,62,56,57
100579VBPPHCS1,1,ES,1,1,1
100579VBPPHCS1,1,EF,3,3,3
100579VBPPHCS1,1,ED,6,6,6
100579VBPPHCS2,1,EE,65,66,64
100579VBPPHCS2,1,ES,3,3,3
100579VBPPHCS2,1,EF,5,4,4
100579VBPPHCS2,1,ED,11,11,11
