Year_Month,Employee_Count
2021-01,1703
2021-02,1680
2021-03,1676
2021-04,1633
2021-05,1595
2021-06,1554
2021-07,1520
2021-08,1509
2021-09,1485
2021-10,1466
2021-11,1455
2021-12,1436
2022-01,1648
2022-02,1635
2022-03,1626
2022-04,1618
2022-05,1602
2022-06,1567
2022-07,1551
2022-08,1530
2022-09,1513
2022-10,1553
2022-11,1554
2022-12,1531
2023-01,1652
2023-02,1625
2023-03,1580
2023-04,1575
2023-05,1548
2023-06,1497
2023-07,1470
2023-08,1418
2023-09,1394
2023-10,1369
2023-11,1361
2023-12,1377
2024-01,1447
2024-02,1438
