Plan,Plan_Type,Company_Coverage,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
DSG BRONZE HDHP EPO PLAN,3,EE,55,53,53,54,52,51,49,50,48,49,49,49
DSG BRONZE HDHP EPO PLAN,3,ES,3,3,3,3,3,2,2,2,2,2,2,1
DSG BRONZE HDHP EPO PLAN,3,EF,5,5,4,4,4,4,4,4,4,4,4,4
DSG BRONZE HDHP EPO PLAN,3,ED,11,11,12,15,17,17,16,17,18,18,15,16
DSG BRONZE HDHP PLAN,3,EE,499,494,495,473,452,435,427,416,404,389,383,381
DSG BRONZE HDHP PLAN,3,ES,19,19,20,20,20,18,18,17,16,17,16,17
DSG BRONZE HDHP PLAN,3,EF,23,25,26,26,25,25,26,26,26,27,26,27
DSG BRONZE HDHP PLAN,3,ED,60,60,60,60,61,60,60,65,69,68,68,63
DSG GOLD EPO PLAN,1,EE,19,19,19,20,22,23,21,18,18,16,17,16
DSG GOLD EPO PLAN,1,ES,4,4,4,4,4,3,3,3,4,4,4,4
DSG GOLD EPO PLAN,1,EF,5,5,5,5,5,5,5,5,4,4,4,4
DSG GOLD EPO PLAN,1,ED,5,5,5,5,5,4,4,4,4,4,4,4
DSG GOLD PLAN,1,EE,228,224,222,215,207,206,200,199,194,190,183,178
DSG GOLD PLAN,1,ES,24,23,23,24,22,20,20,20,20,19,20,20
DSG GOLD PLAN,1,EF,22,21,20,19,18,18,18,18,19,18,19,18
DSG GOLD PLAN,1,ED,25,24,25,26,26,26,24,23,22,22,22,22
DSG SILVER EPO PLAN,3,EE,33,33,33,33,33,32,34,32,32,29,31,31
DSG SILVER EPO PLAN,3,ES,,,,,,,,,1,1,1,1
DSG SILVER EPO PLAN,3,EF,5,5,5,4,4,4,4,4,4,4,4,5
DSG SILVER PLAN,3,EE,514,505,497,481,472,455,441,443,436,439,441,439
DSG SILVER PLAN,3,ES,36,35,37,38,36,38,36,36,38,41,41,39
DSG SILVER PLAN,3,EF,46,46,46,45,47,48,48,49,48,47,47,45
DSG SILVER PLAN,3,ED,62,61,62,59,60,60,60,58,54,54,54,52
