Plan,Plan_Type,Company_Coverage,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
DSG BRONZE HDHP EPO PLAN,3,EE,73,73,70,71,70,72,71,69,67,67,67,67
DSG BRONZE HDHP EPO PLAN,3,ES,3,3,3,3,2,2,2,2,1,1,1,1
DSG BRONZE HDHP EPO PLAN,3,EF,6,6,6,6,6,6,6,6,5,4,4,4
DSG BRONZE HDHP EPO PLAN,3,ED,15,16,16,15,15,16,16,14,13,13,13,12
DSG BRONZE HDHP PLAN,3,EE,447,440,424,416,401,378,372,358,357,345,344,346
DSG BRONZE HDHP PLAN,3,ES,14,15,17,16,15,16,16,15,15,17,16,16
DSG BRONZE HDHP PLAN,3,EF,31,30,27,29,29,31,31,31,30,31,31,31
DSG BRONZE HDHP PLAN,3,ED,99,92,90,86,83,81,77,75,74,72,67,72
DSG GOLD EPO PLAN,1,EE,23,23,23,23,21,21,21,20,19,20,18,18
DSG GOLD EPO PLAN,1,ES,5,5,4,4,4,4,4,4,4,3,3,3
DSG GOLD EPO PLAN,1,EF,3,3,3,3,3,3,3,3,3,3,3,4
DSG GOLD EPO PLAN,1,ED,4,4,4,4,4,4,4,4,4,4,4,4
DSG GOLD PLAN,1,EE,178,178,176,178,180,174,166,161,159,153,150,149
DSG GOLD PLAN,1,ES,14,14,13,12,12,13,13,13,14,15,14,14
DSG GOLD PLAN,1,EF,8,9,9,9,9,10,10,10,10,9,10,11
DSG GOLD PLAN,1,ED,26,24,24,24,24,22,21,20,19,19,20,20
DSG SILVER EPO PLAN,3,EE,55,54,50,50,48,44,44,45,44,45,43,43
DSG SILVER EPO PLAN,3,ES,1,1,1,1,2,2,2,2,2,2,2,2
DSG SILVER EPO PLAN,3,EF,4,4,4,5,5,5,5,4,3,3,3,3
DSG SILVER EPO PLAN,3,ED,4,4,4,4,4,6,6,6,6,6,6,6
DSG SILVER PLAN,3,EE,515,505,497,501,495,476,470,446,438,431,437,443
DSG SILVER PLAN,3,ES,25,25,25,24,26,25,25,25,26,26,24,24
DSG SILVER PLAN,3,EF,32,32,32,30,31,30,31,32,29,27,28,28
DSG SILVER PLAN,3,ED,67,65,58,61,59,56,54,53,52,53,53,56
