Plan,Plan_Type,Company_Coverage,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
100589MEDVBP1,1,EE,70,70,70,67,64,64,62,62,62,62,63,63
100589MEDVBP1,1,ES,12,12,12,12,11,11,11,11,11,11,11,11
100589MEDVBP1,1,EF,8,8,8,8,8,8,8,8,8,7,7,7
100589MEDVBP1,1,ED,9,9,9,9,9,9,9,9,9,9,9,9
100589MEDVBP2,3,EE,9,9,8,8,8,8,7,8,8,9,8,8
100589MEDVBP2,3,ES,7,7,7,7,7,7,7,7,7,7,7,7
100589MEDVBP2,3,EF,3,3,3,3,3,3,3,3,3,3,3,3
100589MEDVBP3,1,EE,11,12,11,11,10,9,9,9,9,9,9,8
100589MEDVBP3,1,ES,4,4,4,4,4,4,4,4,4,4,4,5
100589MEDVBP3,1,EF,2,2,2,2,2,2,2,2,2,2,2,2
100589MEDVBP3,1,ED,2,2,2,2,2,2,2,2,2,2,2,2
