Plan,Plan_Type,Company_Coverage,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
100576VBPBUYHLTSMT,1,EE,166,162,164,161,161,164,160,157,160,171,169,173
100576VBPBUYHLTSMT,1,ES,25,25,25,27,27,27,26,26,25,22,21,21
100576VBPBUYHLTSMT,1,EF,19,19,20,20,20,20,19,16,17,17,18,17
100576VBPBUYHLTSMT,1,ED,20,20,20,20,20,20,18,20,21,22,21,19
100576VBPBUYPHCS,1,EE,155,148,146,145,143,142,141,142,142,139,137,145
100576VBPBUYPHCS,1,ES,18,18,18,19,19,21,22,23,25,24,22,22
100576VBPBUYPHCS,1,EF,19,19,18,20,18,19,20,19,18,19,18,19
100576VBPBUYPHCS,1,ED,37,36,33,32,30,34,34,31,29,26,27,28
100576VBPHDPHLTHSMT,3,EE,42,41,44,43,44,45,45,47,43,46,48,48
100576VBPHDPHLTHSMT,3,ES,5,5,5,5,5,5,6,6,6,6,6,6
100576VBPHDPHLTHSMT,3,EF,8,8,8,7,7,7,7,7,8,8,6,6
100576VBPHDPHLTHSMT,3,ED,5,5,5,5,5,5,6,8,9,8,6,6
100576VBPHDPPHCS,3,EE,40,41,38,37,38,38,37,37,37,35,39,43
100576VBPHDPPHCS,3,ES,3,3,3,4,5,5,5,5,4,6,5,5
100576VBPHDPPHCS,3,EF,5,5,5,5,6,5,5,6,5,5,5,5
100576VBPHDPPHCS,3,ED,9,10,10,11,11,13,17,14,15,17,19,19
