Plan,Plan_Type,Company_Coverage,2024-01,2024-02
100576MEDCIG,1,EE,31,30
100576MEDCIG,1,ES,2,2
100576MEDCIG,1,EF,2,2
100576MEDCIG,1,ED,2,2
100576VBPBUYHLTSMT,1,EE,156,151
100576VBPBUYHLTSMT,1,ES,16,18
100576VBPBUYHLTSMT,1,EF,15,14
100576VBPBUYHLTSMT,1,ED,16,15
100576VBPBUYPHCS,1,EE,160,154
100576VBPBUYPHCS,1,ES,28,26
100576VBPBUYPHCS,1,EF,21,20
100576VBPBUYPHCS,1,ED,34,33
100576VBPHDPHLTHSMT,3,EE,53,53
100576VBPHDPHLTHSMT,3,ES,6,6
100576VBPHDPHLTHSMT,3,EF,11,11
100576VBPHDPHLTHSMT,3,ED,7,7
100576VBPHDPPHCS,3,EE,65,63
100576VBPHDPPHCS,3,ES,6,4
100576VBPHDPPHCS,3,EF,7,6
100576VBPHDPPHCS,3,ED,15,14
